Year,Site,Tree,Ruler_Length_mm,Ruler_Width_mm,Ruler_Height_mm,Vol,Lat
2010,113,04N,15,13,12,1224.6,27.20898
2010,113,04N,19,17,15,2535.55,27.20898
2010,113,04N,15,17,16,2135.2,27.20898
2010,113,04N,17,16,15,2135.2,27.20898
2010,113,04N,17,14,15,1868.3,27.20898
2010,113,04N,18,17,17,2722.38,27.20898
2010,113,04N,19,19,15,2833.85,27.20898
2010,113,04N,16,17,16,2277.5466666667,27.20898
2010,113,04N,16,15,13,1632.8,27.20898
2010,113,04N,17,14,15,1868.3,27.20898
2010,113,04N,14,15,15,1648.5,27.20898
2010,70,201,15,15,12,1413,23.7373
2010,70,201,16,16,14,1875.6266666667,23.7373
2010,70,201,14,15,13,1428.7,23.7373
2010,70,201,17,16,16,2277.5466666667,23.7373
2010,70,201,13,13,12,1061.32,23.7373
2010,70,201,15,16,12,1507.2,23.7373
2010,70,201,13,13,12,1061.32,23.7373
2010,70,201,14,14,13,1333.4533333333,23.7373
2010,70,201,14,14,13,1333.4533333333,23.7373
2010,70,201,12,14,13,1142.96,23.7373
2010,70,201,14,15,14,1538.6,23.7373
2010,70,201,14,14,15,1538.6,23.7373
2010,70,201,13,13,12,1061.32,23.7373
2010,70,201,13,14,12,1142.96,23.7373
2010,70,201,15,17,14,1868.3,23.7373
2010,70,201,14,14,11,1128.3066666667,23.7373
2010,70,201,14,13,12,1142.96,23.7373
2010,70,201,14,14,13,1333.4533333333,23.7373
2010,70,201,12,12,11,828.96,23.7373
2010,70,201,14,13,12,1142.96,23.7373
2010,70,201,13,14,13,1238.2066666667,23.7373
2010,70,201,15,15,12,1413,23.7373
2010,70,58,17,17,16,2419.8933333333,23.73897
2010,70,58,16,16,15,2009.6,23.73897
2010,70,58,19,19,17,3211.6966666667,23.73897
2010,70,58,18,18,18,3052.08,23.73897
2010,70,58,16,15,15,1884,23.73897
2010,70,58,15,16,16,2009.6,23.73897
2010,70,58,14,14,13,1333.4533333333,23.73897
2010,70,58,14,12,12,1055.04,23.73897
2010,70,58,17,17,16,2419.8933333333,23.73897
2010,70,58,16,15,15,1884,23.73897
2010,70,58,14,13,14,1333.4533333333,23.73897
2010,70,58,16,15,15,1884,23.73897
2010,70,58,13,12,13,1061.32,23.73897
2010,70,58,16,16,17,2277.5466666667,23.73897
2010,70,58,14,14,12,1230.88,23.73897
2010,70,58,12,11,12,828.96,23.73897
2010,70,58,15,14,14,1538.6,23.73897
2010,70,58,15,14,14,1538.6,23.73897
2010,70,58,16,14,16,1875.6266666667,23.73897
2010,70,58,16,16,17,2277.5466666667,23.73897
2010,70,58,15,15,16,1884,23.73897
2010,70,58,12,12,13,979.68,23.73897
2010,70,58,17,16,15,2135.2,23.73897
2010,158,29,18,18,15,2543.4,29.26468
2010,158,29,16,17,13,1850.5066666667,29.26468
2010,158,29,16,16,13,1741.6533333333,29.26468
2010,158,29,16,16,14,1875.6266666667,29.26468
2010,158,29,17,17,15,2268.65,29.26468
2010,158,29,15,17,14,1868.3,29.26468
2010,158,29,17,16,15,2135.2,29.26468
2010,158,29,17,18,15,2402.1,29.26468
2010,158,29,17,16,14,1992.8533333333,29.26468
2010,158,29,18,17,15,2402.1,29.26468
2010,158,29,16,16,14,1875.6266666667,29.26468
2010,158,29,17,15,13,1734.85,29.26468
2010,158,29,18,18,15,2543.4,29.26468
2010,158,29,18,18,15,2543.4,29.26468
2010,158,29,17,18,15,2402.1,29.26468
2010,158,29,20,20,16,3349.3333333333,29.26468
2010,158,29,18,17,16,2562.24,29.26468
2010,158,29,18,18,17,2882.52,29.26468
2010,158,29,17,16,13,1850.5066666667,29.26468
2010,158,29,15,15,13,1530.75,29.26468
2010,158,29,19,17,14,2366.5133333333,29.26468
2010,158,29,16,16,14,1875.6266666667,29.26468
2010,158,29,18,17,14,2241.96,29.26468
2010,158,29,16,17,12,1708.16,29.26468
2010,158,29,15,15,12,1413,29.26468
2010,158,29,18,18,14,2373.84,29.26468
2010,158,29,18,17,15,2402.1,29.26468
2010,158,29,18,16,16,2411.52,29.26468
2010,158,29,14,15,14,1538.6,29.26468
2010,158,29,17,17,15,2268.65,29.26468
2010,158,29,16,16,14,1875.6266666667,29.26468
2010,158,29,17,15,14,1868.3,29.26468
2010,158,29,17,17,14,2117.4066666667,29.26468
2010,158,29,16,17,14,1992.8533333333,29.26468
2010,158,29,18,19,13,2326.74,29.26468
2010,158,29,19,18,14,2505.72,29.26468
2010,158,29,16,16,14,1875.6266666667,29.26468
2010,158,29,16,15,14,1758.4,29.26468
2010,158,29,18,18,16,2712.96,29.26468
2010,158,29,19,19,14,2644.9266666667,29.26468
2010,158,29,16,16,13,1741.6533333333,29.26468
2010,158,29,15,16,13,1632.8,29.26468
2010,158,29,16,18,14,2110.08,29.26468
2010,158,29,15,14,13,1428.7,29.26468
2010,158,29,18,17,14,2241.96,29.26468
2010,158,29,16,15,15,1884,29.26468
2010,158,29,17,16,14,1992.8533333333,29.26468
2010,158,29,17,16,14,1992.8533333333,29.26468
2010,113,04M,15,14,14,1538.6,27.20897
2010,113,04M,13,13,13,1149.7633333333,27.20897
2010,113,04M,14,12,11,967.12,27.20897
2010,113,04M,20,19,18,3579.6,27.20897
2010,113,04M,NA,NA,NA,NA,27.20897
2010,113,04M,20,18,16,3014.4,27.20897
2010,113,04M,14,14,14,1436.0266666667,27.20897
2010,113,04M,12,11,10,690.8,27.20897
2010,113,04M,13,14,12,1142.96,27.20897
2010,113,04M,17,18,17,2722.38,27.20897
2010,113,04M,15,14,12,1318.8,27.20897
2010,113,04M,17,16,13,1850.5066666667,27.20897
2010,113,04M,17,16,17,2419.8933333333,27.20897
2010,113,04M,13,14,11,1047.7133333333,27.20897
2010,113,04M,13,16,15,1632.8,27.20897
2010,113,04M,17,14,14,1743.7466666667,27.20897
2010,113,04M,14,14,14,1436.0266666667,27.20897
2010,113,04M,15,13,14,1428.7,27.20897
2010,113,04M,16,13,11,1197.3866666667,27.20897
2010,113,04M,19,16,16,2545.4933333333,27.20897
2010,113,04M,16,14,14,1641.1733333333,27.20897
2010,113,04M,15,15,16,1884,27.20897
2010,113,04M,18,18,16,2712.96,27.20897
2010,113,04M,15,16,13,1632.8,27.20897
2010,113,04M,18,18,13,2204.28,27.20897
2010,113,04M,20,19,19,3778.4666666667,27.20897
2010,113,04M,15,15,15,1766.25,27.20897
2010,113,04M,16,16,14,1875.6266666667,27.20897
2010,113,04M,17,15,16,2135.2,27.20897
2010,113,04M,12,15,15,1413,27.20897
2010,113,04M,16,13,11,1197.3866666667,27.20897
2010,113,04M,16,16,14,1875.6266666667,27.20897
2010,113,04M,17,15,15,2001.75,27.20897
2010,113,04M,14,14,15,1538.6,27.20897
2010,113,04M,15,15,13,1530.75,27.20897
2010,113,04M,14,14,12,1230.88,27.20897
2010,113,04M,15,14,15,1648.5,27.20897
2010,113,04M,14,13,11,1047.7133333333,27.20897
2010,113,04M,17,16,17,2419.8933333333,27.20897
2010,113,04M,15,15,14,1648.5,27.20897
2010,113,04M,13,13,11,972.8766666667,27.20897
2010,113,04M,18,18,16,2712.96,27.20897
2010,113,04M,14,15,11,1208.9,27.20897
2010,70,8,17,16,22,3131.6266666667,23.73801
2010,70,8,NA,NA,NA,NA,23.73801
2010,70,8,18,18,22,3730.32,23.73801
2010,70,8,18,16,19,2863.68,23.73801
2010,70,8,15,16,19,2386.4,23.73801
2010,70,8,17,15,20,2669,23.73801
2010,70,8,19,19,19,3589.5433333333,23.73801
2010,172,4,17,17,12,1814.92,28.29127
2010,172,4,18,19,13,2326.74,28.29127
2010,172,4,17,17,13,1966.1633333333,28.29127
2010,172,4,18,18,14,2373.84,28.29127
2010,172,4,18,17,13,2081.82,28.29127
2010,172,4,15,15,12,1413,28.29127
2010,172,4,18,16,13,1959.36,28.29127
2010,172,4,17,17,13,1966.1633333333,28.29127
2010,172,4,14,15,12,1318.8,28.29127
2010,172,4,18,18,13,2204.28,28.29127
2010,172,4,16,15,13,1632.8,28.29127
2010,172,4,17,17,13,1966.1633333333,28.29127
2010,172,4,16,16,13,1741.6533333333,28.29127
2010,172,4,16,16,12,1607.68,28.29127
2010,172,4,16,15,12,1507.2,28.29127
2010,172,4,15,15,13,1530.75,28.29127
2010,172,4,16,15,12,1507.2,28.29127
2010,172,4,17,16,13,1850.5066666667,28.29127
2010,172,4,16,15,13,1632.8,28.29127
2010,172,4,15,15,12,1413,28.29127
2010,172,4,16,15,11,1381.6,28.29127
2010,172,4,16,15,13,1632.8,28.29127
2010,172,4,NA,NA,NA,NA,28.29127
2010,172,4,15,14,12,1318.8,28.29127
2010,172,4,15,15,13,1530.75,28.29127
2010,96,34,22,24,NA,NA,24.03062
2010,96,34,21,22,18,4352.04,24.03062
2010,96,34,21,22,19,4593.82,24.03062
2010,96,34,21,22,19,4593.82,24.03062
2010,96,34,23,24,19,5488.72,24.03062
2010,96,34,20,22,16,3684.2666666667,24.03062
2010,96,34,21,21,16,3692.64,24.03062
2010,96,34,24,25,20,6280,24.03062
2010,96,34,20,23,16,3851.7333333333,24.03062
2010,96,34,24,24,21,6330.24,24.03062
2010,96,34,24,24,22,6631.68,24.03062
2010,96,34,21,21,16,3692.64,24.03062
2010,96,34,22,24,20,5526.4,24.03062
2010,96,34,23,24,23,6644.24,24.03062
2010,96,34,20,20,15,3140,24.03062
2010,96,34,19,19,16,3022.7733333333,24.03062
2010,96,34,22,22,17,4305.9866666667,24.03062
2010,96,34,22,20,18,4144.8,24.03062
2010,96,34,20,21,17,3736.6,24.03062
2010,96,34,19,22,16,3500.0533333333,24.03062
2010,96,34,17,17,16,2419.8933333333,24.03062
2010,96,34,18,19,15,2684.7,24.03062
2010,96,34,18,19,13,2326.74,24.03062
2010,96,34,20,21,20,4396,24.03062
2010,96,34,22,24,18,4973.76,24.03062
2010,96,34,20,19,16,3181.8666666667,24.03062
2010,96,34,24,23,19,5488.72,24.03062
2010,96,34,19,18,15,2684.7,24.03062
2010,96,34,18,19,17,3042.66,24.03062
2010,96,34,21,19,18,3758.58,24.03062
2010,96,34,25,25,19,6214.5833333333,24.03062
2010,96,34,21,22,16,3868.48,24.03062
2010,96,34,23,23,16,4429.4933333333,24.03062
2010,96,34,20,18,20,3768,24.03062
2010,96,34,21,21,16,3692.64,24.03062
2010,96,34,20,22,17,3914.5333333333,24.03062
2010,96,34,19,18,14,2505.72,24.03062
2010,96,34,21,21,14,3231.06,24.03062
2010,96,34,23,23,15,4152.65,24.03062
2010,96,34,21,22,17,4110.26,24.03062
2010,70,38,18,20,12,2260.8,23.73647
2010,70,38,17,18,15,2402.1,23.73647
2010,70,38,18,15,15,2119.5,23.73647
2010,70,38,18,16,14,2110.08,23.73647
2010,70,38,19,17,15,2535.55,23.73647
2010,70,38,18,17,15,2402.1,23.73647
2010,70,38,17,16,15,2135.2,23.73647
2010,70,38,19,18,16,2863.68,23.73647
2010,70,38,16,16,15,2009.6,23.73647
2010,70,38,13,11,12,898.04,23.73647
2010,70,38,17,14,14,1743.7466666667,23.73647
2010,70,38,16,14,14,1641.1733333333,23.73647
2010,70,38,19,17,14,2366.5133333333,23.73647
2010,70,38,17,14,16,1992.8533333333,23.73647
2013,158,29,15,14,12,1318.8,29.26468
2013,158,41,14,14,9,923.16,29.26395723
2013,158,29,18,17,16,2562.24,29.26468
2013,158,29,14,16,16,1875.63,29.26468
2013,158,29,8,19,19,1511.39,29.26468
2013,158,29,7,14,13,666.73,29.26468
2013,158,29,15,15,11,1295.25,29.26468
2013,158,29,9,14,14,923.16,29.26468
2013,158,29,9,15,15,1059.75,29.26468
2013,158,29,14,17,17,2117.41,29.26468
2013,158,29,16,16,11,1473.71,29.26468
2013,158,29,9,14,14,923.16,29.26468
2013,158,29,14,9,12,791.28,29.26468
2013,158,29,15,15,10,1177.5,29.26468
2013,158,29,10,10,15,785,29.26468
2013,158,29,15,15,16,1884,29.26468
2013,158,29,15,16,12,1507.2,29.26468
2013,158,29,18,18,8,1356.48,29.26468
2013,158,29,18,18,15,2543.4,29.26468
2013,158,29,14,16,16,1875.63,29.26468
2013,158,29,14,16,1,117.23,29.26468
2013,158,29,17,16,16,2277.55,29.26468
2013,158,29,17,19,15,2535.55,29.26468
2013,158,29,16,16,14,1875.63,29.26468
2013,158,29,17,16,12,1708.16,29.26468
2013,158,29,17,15,12,1601.4,29.26468
2013,158,29,16,15,12,1507.2,29.26468
2013,158,41,17,17,18,2722.38,29.26395723
2013,158,41,19,16,16,2545.49,29.26395723
2013,158,41,18,17,17,2722.38,29.26395723
2013,158,41,17,16,16,2277.55,29.26395723
2013,158,41,17,16,16,2277.55,29.26395723
2013,158,41,13,10,14,952.47,29.26395723
2013,158,41,15,15,15,1766.25,29.26395723
2013,158,41,15,15,18,2119.5,29.26395723
2013,158,41,17,17,16,2419.89,29.26395723
2013,158,41,15,15,15,1766.25,29.26395723
2013,158,41,16,16,17,2277.55,29.26395723
2013,158,41,15,12,20,1884,29.26395723
2013,158,29,15,15,10,1177.5,29.26468
2013,158,29,15,15,10,1177.5,29.26468
2013,158,29,15,16,10,1256,29.26468
2013,158,29,16,14,18,2110.08,29.26468
2013,158,29,17,15,14,1868.3,29.26468
2013,158,29,18,16,15,2260.8,29.26468
2013,158,29,15,14,12,1318.8,29.26468
2013,158,29,16,14,11,1289.49,29.26468
2013,158,29,12,13,13,1061.32,29.26468
2013,158,29,16,15,9,1130.4,29.26468
2013,158,29,16,14,11,1289.49,29.26468
2013,158,29,16,14,11,1289.49,29.26468
2013,158,29,17,17,14,2117.41,29.26468
2013,158,29,15,14,14,1538.6,29.26468
2013,158,29,16,14,12,1406.72,29.26468
2013,158,29,15,15,14,1648.5,29.26468
2013,158,29,16,17,11,1565.81,29.26468
2013,158,29,16,15,12,1507.2,29.26468
2013,158,29,16,16,12,1607.68,29.26468
2013,158,29,17,18,14,2241.96,29.26468
2013,158,29,16,14,13,1523.95,29.26468
2013,158,29,16,15,12,1507.2,29.26468
2013,158,29,15,14,12,1318.8,29.26468
2013,158,29,18,15,14,1978.2,29.26468
2013,158,41,14,14,9,923.16,29.26395723
2013,158,41,17,16,15,2135.2,29.26395723
2013,158,41,16,16,14,1875.63,29.26395723
2013,158,41,16,16,15,2009.6,29.26395723
2013,158,41,17,17,16,2419.89,29.26395723
2013,158,41,16,15,16,2009.6,29.26395723
2013,158,41,17,16,18,2562.24,29.26395723
2013,158,41,14,15,14,1538.6,29.26395723
2013,158,41,16,18,14,2110.08,29.26395723
2013,158,25,11,13,13,972.88,29.26363
2013,158,25,10,12,9,575.67,29.26363
2013,172,12,13,12,13,1061.32,28.29040001
2013,172,12,14,14,13,1333.45,28.29040001
2013,172,12,15,12,12,1130.4,28.29040001
2013,172,12,18,17,16,2562.24,28.29040001
2013,172,12,15,14,14,1538.6,28.29040001
2013,172,7,14,10,15,1099,28.29089999
2013,172,7,17,16,15,2135.2,28.29089999
2013,172,31,9,9,9,381.51,28.29089899
2013,172,31,10,10,9,471,28.29089899
2013,172,31,10,10,10,523.33,28.29089899
2013,172,31,9,9,11,466.29,28.29089899
2013,172,31,9,10,11,518.1,28.29089899
2013,172,50,19,18,17,3042.66,28.28972996
2013,172,50,12,13,11,898.04,28.28972996
2013,172,50,14,15,12,1318.8,28.28972996
2013,172,50,12,12,15,1130.4,28.28972996
2013,172,83,9,9,10,423.9,28.28954003
2013,172,83,7,7,9,230.79,28.28954003
2013,172,83,7,6,8,175.84,28.28954003
2013,172,83,8,8,11,368.43,28.28954003
2013,172,83,11,9,9,466.29,28.28954003
2013,172,82,8,8,10,334.93,28.28932101
2013,172,82,8,8,11,368.43,28.28932101
2013,172,82,12,9,9,508.68,28.28932101
2013,172,82,9,9,10,423.9,28.28932101
2013,172,82,8,8,12,401.92,28.28932101
2013,172,31,11,10,12,690.8,28.29089899
2013,172,31,9,9,10,423.9,28.29089899
2013,172,31,10,10,10,523.33,28.29089899
2013,172,31,10,8,11,460.53,28.29089899
2013,172,50,12,13,11,898.04,28.28972996
2013,172,57,11,15,14,1208.9,28.29045097
2013,172,57,11,12,14,967.12,28.29045097
2013,172,12,15,16,17,2135.2,28.29040001
2013,172,12,8,8,9,301.44,28.29040001
2013,112,25,10,10,10,523.33,27.53989102
2013,112,25,12,13,15,1224.6,27.53989102
2013,112,25,14,15,12,1318.8,27.53989102
2013,112,25,12,15,14,1318.8,27.53989102
2013,112,25,10,12,12,753.6,27.53989102
2013,112,25,9,11,13,673.53,27.53989102
2013,112,25,16,14,15,1758.4,27.53989102
2013,112,25,12,11,14,967.12,27.53989102
2013,112,25,15,14,17,1868.3,27.53989102
2013,112,25,12,12,12,904.32,27.53989102
2013,112,25,12,14,14,1230.88,27.53989102
2013,112,25,11,13,12,898.04,27.53989102
2013,112,25,17,17,17,2571.14,27.53989102
2013,112,25,14,12,11,967.12,27.53989102
